transaction_id,date,customer_id,amount,category,region,payment_method,merchant_name
TXN_001114,01/03/2024,CUST_3711,863.13,Training,West,Cash,Marketing Agency Ltd
TXN_006267,01/06/2024,CUST_6073,1783.51,Marketing,South,Transfer,Advisory Partners
TXN_005820,01/10/2024,CUST_2381,1200.51,Travel,North,Transfer,Tech Solutions Ltd
TXN_004797,02/04/2024,CUST_4899,1981.6,Travel,South,Cash,Cloud Services Inc
TXN_004823,02/05/2024,CUST_2342,943.9,Marketing,South,Direct Debit,Conference Center
TXN_009190,03/03/2024,CUST_1255,1147.27,,North,Cash,Stationary World
TXN_009475,03/07/2024,CUST_7457,1772.48,Maintenance,North,Card,Legal Advisors
TXN_001489,03/08/2024,CUST_1894,108.64,Equipment,North,Direct Debit,Software Vendor
TXN_000008,03/09/2024,CUST_5426,277.27,it services,West,Direct Debit,Maintenance Services
TXN_003162,03/11/2024,CUST_7614,5217.33,IT Services,East,Cash,Cloud Services Inc
TXN_003740,04/06/2024,CUST_1919,1155.72,Utilities,North,Transfer,Marketing Agency Ltd
TXN_006854,06/01/2024,CUST_3105,1903.42,Legal,South,Direct Debit,Tech Solutions Ltd
TXN_009200,06/02/2024,CUST_6592,1886.04,Office Supplies,East,Transfer,Cloud Services Inc
TXN_005241,06/06/2024,CUST_3657,758.62,Office Supplies,East,Cash,Maintenance Services
TXN_006394,07/12/2024,CUST_7719,926.7,IT Services,West,Direct Debit,Industrial Supply Co
TXN_004328,08/03/2024,CUST_9975,603.54,Travel,North,Card,
TXN_005057,08/11/2024,CUST_7691,159.55,Marketing,East,Cash,Advisory Partners
TXN_002009,09/03/2024,CUST_2246,1225.14,IT Services,East,Cash,Tech Solutions Ltd
TXN_008775,09/03/2024,CUST_2912,1899.33,equipment,North,Direct Debit,
TXN_009006,09/06/2024,CUST_1234,,Marketing,South,Transfer,Power Supply Co
TXN_004566,09/12/2024,CUST_5042,931.16,Utilities,North,Card,Cloud Services Inc
TXN_005371,09/12/2024,CUST_4201,110.46,,East,Card,Maintenance Services
TXN_003483,10/03/2024,CUST_1644,412.95,Utilities,South,Cash,Learning Academy
TXN_004348,10/05/2024,CUST_2902,1161.23,Training,East,Cash,
TXN_001881,10/09/2024,CUST_8967,1900.35,IT Services,North,Card,Tech Solutions Ltd
TXN_006677,10/09/2024,CUST_6972,936.79,Equipment,North,Direct Debit,Learning Academy
TXN_007073,10/11/2024,CUST_1393,299.37,Office Supplies,East,Direct Debit,Stationary World
TXN_000437,10/12/2024,CUST_1412,1019.84,Maintenance,West,Cash,Learning Academy
TXN_008588,11/10/2024,CUST_2883,1768.53,Training,East,Card,Industrial Supply Co
TXN_006791,11/11/2024,CUST_7571,1601.95,Travel,North,Cash,City Hotel
TXN_006720,12/04/2024,CUST_9328,,Travel,East,Direct Debit,Advisory Partners
TXN_009741,12/06/2024,CUST_6606,662.11,Training,South,Cash,Tech Solutions Ltd
TXN_008610,12/09/2024,CUST_4883,1460.32,Legal,North,Card,Software Vendor
TXN_007634,12/10/2024,CUST_6122,409.96,Utilities,East,Direct Debit,Legal Advisors
TXN_004140,13/01/2024,CUST_2716,1199.89,Training,South,Transfer,Conference Center
TXN_008001,13/03/2024,CUST_8616,1250.99,Consulting,North,Cash,British Airways
TXN_004532,14/01/2024,CUST_7638,1352.88,Legal,North,Cash,Conference Center
TXN_003647,14/03/2024,CUST_9235,1644.34,Training,North,Cash,Learning Academy
TXN_009462,14/04/2024,CUST_6614,784.87,Marketing,South,Transfer,British Airways
TXN_008508,14/05/2024,CUST_2079,1912.65,IT Services,East,Cash,City Hotel
TXN_006663,14/06/2024,CUST_6559,1278.62,Consulting,North,Direct Debit,Cloud Services Inc
TXN_007364,14/07/2024,CUST_1966,8669.61,Office Supplies,North,Transfer,Conference Center
TXN_004743,14/12/2024,CUST_2725,751.14,IT Services,South,Transfer,
TXN_008157,16/01/2024,CUST_5284,,Equipment,North,Card,Learning Academy
TXN_009414,16/10/2024,CUST_8631,1783.96,Equipment,North,Cash,Power Supply Co
TXN_001966,18/06/2024,CUST_7272,421.2,Office Supplies,West,Transfer,Marketing Agency Ltd
TXN_001901,18/10/2024,CUST_9648,,Maintenance,North,Card,Advisory Partners
TXN_004289,18/10/2024,CUST_2216,1550.04,,North,Direct Debit,
TXN_003621,18/12/2024,CUST_1634,1718.96,Utilities,West,Cash,Maintenance Services
TXN_003657,19/02/2024,CUST_2812,,Training,East,Direct Debit,Stationary World
TXN_001064,19/05/2024,CUST_5033,493.75,Consulting,South,Card,Maintenance Services
TXN_000344,19/06/2024,CUST_4051,1942.56,Equipment,West,Cash,
TXN_004696,20/02/2024,CUST_6402,1220.28,Utilities,,Cash,Conference Center
TXN_008434,20/07/2024,CUST_8399,1898.7,Marketing,South,Transfer,Tech Solutions Ltd
TXN_009309,20/07/2024,CUST_2758,1235.97,IT Services,South,Transfer,Conference Center
TXN_002034,20/10/2024,CUST_6946,17932.73,Equipment,North,Cash,Power Supply Co
TXN_000296,2024-01-01,CUST_6442,16290.08,Travel,East,Cash,British Airways
TXN_000977,2024-01-01,CUST_6182,443.71,Maintenance,East,Card,Legal Advisors
TXN_001169,2024-01-01,CUST_9044,,Travel,West,Cash,Maintenance Services
TXN_001670,2024-01-01,CUST_9927,1580.19,Travel,North,Transfer,British Airways
TXN_002186,2024-01-01,CUST_6105,676.76,Utilities,East,Direct Debit,Stationary World
TXN_002993,2024-01-01,CUST_7919,1179.32,,West,Cash,Office Depot
TXN_003070,2024-01-01,CUST_7593,76.94,Training,East,Transfer,Office Depot
TXN_003266,2024-01-01,CUST_4922,633.54,it services,South,Card,British Airways
TXN_003630,2024-01-01,CUST_9026,437.93,Marketing,Sth,Transfer,Maintenance Services
TXN_004164,2024-01-01,CUST_2719,1549.28,Marketing,South,Card,Office Depot
TXN_004171,2024-01-01,CUST_5647,424.59,Consulting,West,Transfer,Marketing Agency Ltd
TXN_004459,2024-01-01,CUST_3537,1587.95,training,West,Direct Debit,Software Vendor
TXN_004620,2024-01-01,CUST_1941,329.25,Equipment,North,Transfer,
TXN_004805,2024-01-01,CUST_2813,1026.66,IT Services,East,Cash,Software Vendor
TXN_005025,2024-01-01,CUST_3933,377.24,legal,North,Cash,Maintenance Services
TXN_006846,2024-01-01,CUST_7523,1149.73,Marketing,North,Card,Learning Academy
TXN_006940,2024-01-01,CUST_2721,1394.74,Equipment,East,Direct Debit,British Airways
TXN_007402,2024-01-01,CUST_2425,481.6,Training,North,Card,Cloud Services Inc
TXN_007412,2024-01-01,CUST_8804,1999.63,IT Services,North,Cash,Office Depot
TXN_007797,2024-01-01,CUST_5299,1865.41,Maintenance,South,Card,Software Vendor
TXN_008295,2024-01-01,CUST_5099,8865.39,consulting,South,Transfer,Stationary World
TXN_008427,2024-01-01,CUST_2284,671.54,Training,East,Transfer,Stationary World
TXN_008525,2024-01-01,CUST_1526,1657.18,Marketing,West,Direct Debit,City Hotel
TXN_009288,2024-01-01,CUST_4822,410.11,utilities,East,Cash,Office Depot
TXN_009339,2024-01-01,CUST_1023,1665.45,Training,South,Transfer,British Airways
TXN_009951,2024-01-01,CUST_3523,1415.65,IT Services,East,Transfer,Learning Academy
TXN_009954,2024-01-01,CUST_4909,452.53,Travel,East,Cash,City Hotel
TXN_000601,2024-01-02,CUST_2015,1017.16,Travel,North,Card,Advisory Partners
TXN_001443,2024-01-02,CUST_4496,207.0,Utilities,North,Cash,Advisory Partners
TXN_001592,2024-01-02,CUST_7262,423.06,Utilities,East,Card,Tech Solutions Ltd
TXN_002595,2024-01-02,CUST_6624,981.31,IT Services,West,Transfer,Office Depot
TXN_003134,2024-01-02,CUST_2913,582.93,Travel,East,Direct Debit,
TXN_003456,2024-01-02,CUST_3817,1539.8,Equipment,South,Card,Power Supply Co
TXN_004596,2024-01-02,CUST_4512,486.91,Travel,South,Cash,Software Vendor
TXN_004652,2024-01-02,CUST_8707,8837.73,maintenance,East,Cash,Legal Advisors
TXN_005520,2024-01-02,CUST_5726,1818.28,maintenance,North,Transfer,Office Depot
TXN_005671,2024-01-02,CUST_5516,1688.57,Utilities,South,Cash,Learning Academy
TXN_005702,2024-01-02,CUST_2388,313.59,Consulting,East,Card,Cloud Services Inc
TXN_006105,2024-01-02,CUST_8959,1295.25,IT Services,North,Card,Stationary World
TXN_006116,2024-01-02,CUST_4636,1488.35,Maintenance,South,Direct Debit,Advisory Partners
TXN_006429,2024-01-02,CUST_1490,397.74,Training,South,Direct Debit,Learning Academy
TXN_006520,2024-01-02,CUST_1964,568.61,Utilities,East,Cash,Marketing Agency Ltd
TXN_007691,2024-01-02,CUST_5366,183.81,equipment,North,Transfer,Conference Center
TXN_008112,2024-01-02,CUST_3666,854.26,Maintenance,West,Cash,Power Supply Co
TXN_008122,2024-01-02,CUST_7005,1144.76,Maintenance,North,Direct Debit,Conference Center
TXN_008191,2024-01-02,CUST_5175,113.25,Office Supplies,West,Direct Debit,Conference Center
TXN_008523,2024-01-02,CUST_2361,1641.38,Maintenance,West,Card,Office Depot
TXN_009291,2024-01-02,CUST_2780,,,North,Direct Debit,
TXN_009573,2024-01-02,CUST_1874,1330.48,Travel,South,Cash,Office Depot
TXN_000103,2024-01-03,CUST_4840,1485.19,Office Supplies,North,Card,City Hotel
TXN_000107,2024-01-03,CUST_7910,660.98,Travel,South,Card,City Hotel
TXN_000178,2024-01-03,CUST_1202,1024.82,Training,West,Transfer,Tech Solutions Ltd
TXN_000445,2024-01-03,CUST_3967,1660.42,Maintenance,West,Direct Debit,Office Depot
TXN_000818,2024-01-03,CUST_6287,1595.97,consulting,East,Cash,British Airways
TXN_000829,2024-01-03,CUST_2908,152.09,Equipment,East,Transfer,Conference Center
TXN_000882,2024-01-03,CUST_3336,1276.66,Office Supplies,North,Cash,Tech Solutions Ltd
TXN_001977,2024-01-03,CUST_9906,168.59,Maintenance,South,Direct Debit,Cloud Services Inc
TXN_002472,2024-01-03,CUST_7581,571.48,Maintenance,North,Transfer,Stationary World
TXN_004085,2024-01-03,CUST_6698,1033.47,Utilities,South,Cash,Software Vendor
